"Bug编号","相关需求","Bug标题","严重程度","优先级","Bug类型","解决者","解决方案","重复ID"
"16957","","[灵动智溯][NGPM230901RC1][指标图表隐藏]建议优化指标图表隐藏功能 速度","4","3","代码错误","徐阳","已解决","0",""
"16491",""," [配置中心[NGPM230901RC1][拓扑管理]新增拓扑后，点击保存，拓扑会移位","3","3","代码错误","徐阳","已解决","0",""
"16852",""," [配置中心][NGPM230901RC1][用户管理]未选择密码中可以包含特殊字符选项时，密码中输入特殊字符也能保存成功","2","3","代码错误","徐阳","设计如此","0",""
"16851",""," [配置中心][NGPM230901RC1][用户管理]添加用户时，密码长度不对时，提示内容不准确","4","3","代码错误","徐阳","已解决","0",""
"16850",""," [配置中心][NGPM230901RC1][用户管理]添加用户时，密码框旁边的提示icon隐藏","3","3","代码错误","徐阳","已解决","0",""
"16913","","[配置中心][NGPM230901RC1][系统配置]其他配置->DPI，启用按钮未开启时，添加优化","5","3","代码错误","徐阳","已解决","0",""
"16860",""," [配置中心][NGPM230901RC1][用户管理]->安全策略：英文模式下，超时时间设置旁边的提示信息显示不完整","4","3","代码错误","徐阳","已解决","0",""
"16911",""," [配置中心][NGPM230901RC1][系统配置]其他配置->DPI，探针选择和规则选择框优化","5","3","代码错误","徐阳","已解决","0",""
"16859",""," [配置中心][NGPM230901RC1][用户管理]英文模式下，安全策略中，部分文字没有中译英","3","3","代码错误","徐阳","已解决","0",""
"16915",""," [配置中心][NGPM230901RC1][系统配置]其他配置->DPI，切换语言时，接口选择不正确","3","3","代码错误","徐阳","设计如此","0",""
"16928",""," [配置中心][NGPM230901RC1][系统配置]其他配置->DPI，添加DPI时，接口和规则没有做限制","3","3","代码错误","徐阳","已解决","0",""
"16978",""," [报表中心][NGPM230901RC1][流量分析全局报表] 另存后的时间控件有问题，结束时间早于开始时间未提示","3","3","代码错误","徐阳","已解决","0",""
"16432",""," [广东移动][21.11.10.7(RC1)][规则管理]7层应用中，协议排序功能不生效","3","3","代码错误","徐阳","已解决","0",""
"16830",""," [监控中心][NGPM230901RC1][链路大屏]  勾选的指标数量和显示的图例数量不一致，且勾选多个指标时前面的一个已选的指标变为未勾选...","3","3","代码错误","徐阳","已解决","0",""
"16504",""," [配置中心[NGPM230901RC1][拓扑管理]新增拓扑后，节点名称保存成功后未显示在节点上","3","3","代码错误","徐阳","已解决","0",""
"16725","","[访问关系][NGPM230901RC1][主异常访问策略]IP策略管理/网络区域策略管理/业务策略管理页面优化","5","3","代码错误","徐阳","已解决","0",""
"16751","","[访问关系[NGPM230901RC1][异常策略管理]编辑策略后点击保存提示成功，再次点击编辑查看，内容显示空白","3","3","代码错误","徐阳","已解决","0",""
